,time,open,high,low,close,volume,EMA8,EMA155,UpperBand,LowerBand,Trend,Velocity,Acceleration,wpr,wpr_lf,H,L,H_idx,L_idx,dir,last_H,last_L,H_wpr,L_wpr,BOS,H_raw,L_raw,H_tf,L_tf,H_idx_tf,L_idx_tf,dir_tf,last_H_tf,last_L_tf,low_since_H,high_since_L,swing_tf,swing_H_tf,swing_L_tf,ST_Long,ST_Short,KO_Long,KO_Short,Risk_Long,Risk_Short,Risk_Long_Adm,Risk_Short_Adm,signal,run-up,draw-down
21998,20260429  17:06:00,24085.0,24088.0,24056.0,24058.0,-1,24093.24328764482,24112.01585033422,24172.144008752184,24051.887691916258,-7.789573628556215,0.008690239821966551,0.011080219072660744,-61.98830409356725,-78.54785478547855,,,21996.0,21993.0,-1.0,24128.0,24088.0,-39.1812865497076,-34.50292397660819,DOWN,,,,,21959.0,21894.0,1,24164.0,24034.0,23993.0,24164.0,130.0,,,24021.0,24164.0,37.0,106.0,0.15379499542771635,0.4406018787929171,True,False,SHORT,30.0,155.0
22139,20260430  04:18:00,24038.0,24038.0,24018.0,24018.0,-1,24037.503594055303,24018.51996139711,24107.08238687099,23929.95753592323,-12.527126683062063,-0.02009754841604099,0.004119673748456884,-56.25,-70.73791348600508,,,22136.0,22134.0,-1.0,24051.0,24040.0,-6.1946902654867255,-8.771929824561404,DOWN,,,,,22133.0,22071.0,1,24054.0,23903.0,24018.0,24054.0,151.0,,,23887.9,24054.0,130.09999999999854,36.0,0.5416770755266822,0.1498875843117662,True,False,SHORT,20.0,290.0
22621,20260504  08:33:00,24462.0,24463.0,24432.0,24439.0,-1,24461.908664375573,24429.954421172228,24472.08513575446,24387.823706589996,26.021903470440506,-0.007695689277474226,-0.0019994126167685936,-80.88235294117646,-7.421875,,,22620.0,22618.0,-1.0,24478.0,24450.0,-47.05882352941177,-60.294117647058826,DOWN,,,,,22495.0,22493.0,1,24496.0,24375.0,24392.0,24496.0,121.0,,,24362.9,24496.0,76.09999999999854,57.0,0.31138753631490057,0.23323376570236098,True,False,SHORT,35.0,80.0
22690,20260504  12:00:00,24475.0,24496.0,24429.0,24443.0,-1,24473.698111948528,24435.653083543373,24485.52346015662,24385.782706930127,12.998038094606654,0.0024893701956992757,-0.006924423147339088,-50.86206896551724,-8.21566110397946,24496.0,,22690.0,22685.0,-1.0,24496.0,24462.0,-50.86206896551724,-26.495726495726494,DOWN,,,,,22645.0,22630.0,1,24507.0,24359.0,24386.0,24507.0,148.0,,,24344.2,24507.0,98.79999999999927,64.0,0.40420570306426895,0.26183365380681584,True,False,SHORT,53.0,282.0
22749,20260504  14:57:00,24370.0,24382.0,24336.0,24346.0,-1,24365.690960748358,24392.28955031698,24517.33319565804,24267.245904975916,-4.872681414051893,0.02154372660794099,0.007931204778081792,-57.89473684210526,-20.66752246469833,24382.0,,22749.0,22745.0,-1.0,24382.0,24354.0,-57.89473684210526,-48.30508474576271,DOWN,,,,,22645.0,22630.0,1,24507.0,24359.0,24161.0,24507.0,148.0,,,24344.2,24507.0,1.7999999999992724,161.0,0.007393411648727809,0.6612995974698103,True,False,SHORT,36.0,407.0
23157,20260505  15:30:00,24437.0,24441.0,24405.0,24406.0,-1,24435.173499083976,24321.597336880895,24586.846450888126,24056.348222873665,50.91606947325054,-0.0018371760363179647,-0.0013543209679664646,-82.82828282828282,-17.781690140845072,24441.0,,23157.0,23152.0,-1.0,24441.0,24447.0,-82.82828282828282,-21.25984251968504,DOWN,,,,,23137.0,22812.0,1,24488.0,23939.0,24396.0,24488.0,549.0,,,23884.1,24488.0,521.9000000000015,82.0,2.1384085880521244,0.33598295501106284,True,False,SHORT,35.0,88.0
23525,20260506  14:03:00,25121.0,25121.0,25082.0,25094.0,-1,25132.220045631828,24953.43909454623,25369.090630792063,24537.787558300395,90.57867418844454,-0.003554741455584676,-0.00095688698123637,-92.85714285714286,-11.899313501144166,,,23522.0,23520.0,-1.0,25167.0,25105.0,-67.54966887417218,-76.68711656441718,DOWN,,,,,23507.0,23342.0,1,25250.0,24588.0,25082.0,25250.0,662.0,,,24521.8,25250.0,572.2000000000007,156.0,2.2802263489280334,0.6216625488164502,True,False,SHORT,27.0,168.0
23757,20260507  05:48:00,25045.0,25050.0,25041.0,25043.0,-1,25048.22042610382,25036.466951063794,25081.35283768672,24991.581064440867,14.464568349330797,-0.008914451081677335,-0.0009418851470239503,-86.79245283018868,-16.707021791767556,,,23755.0,23753.0,-1.0,25056.0,25047.0,-69.81132075471699,-69.81132075471699,DOWN,,,,,23718.0,23623.0,1,25089.0,24979.0,25036.0,25089.0,110.0,,,24968.0,25089.0,75.0,46.0,0.29948488599608675,0.1836840634109332,True,False,SHORT,18.0,12.0
23786,20260507  07:15:00,25046.0,25046.0,25033.0,25037.0,-1,25047.441223940263,25040.502860819885,25078.84797091397,25002.1577507258,11.444418224231848,-0.011759187204638866,-0.0018112866909587577,-83.78378378378379,-17.19128329297821,,,23785.0,23784.0,-1.0,25050.0,25040.0,-59.45945945945946,-59.45945945945946,DOWN,,,,,23718.0,23623.0,1,25089.0,24979.0,25031.0,25089.0,110.0,,,24968.0,25089.0,69.0,52.0,0.27559212365698765,0.20769261492990373,True,False,SHORT,60.0,45.0
23877,20260507  11:48:00,24994.0,25000.0,24968.0,24969.0,-1,24992.3150860225,25027.143879589756,25079.104565746744,24975.183193432767,-0.6136104555286234,0.725596557708807,-0.1953020107257185,-95.04950495049505,-30.117899249732048,,,23875.0,23871.0,-1.0,25009.0,24989.0,-70.17543859649123,-77.46478873239437,DOWN,,,,,23833.0,23807.0,1,25106.0,24992.0,24964.0,25106.0,114.0,,,24980.6,25106.0,-11.599999999998545,137.0,-0.04645760743321136,0.5486803636509272,True,False,SHORT,31.0,40.0
23952,20260507  15:33:00,24939.0,24942.0,24924.0,24926.0,-1,24947.842292714107,24990.616489699718,25069.018123843234,24912.2148555562,-8.770592080692715,0.0218964878358642,0.0032896916222752842,-98.1981981981982,-34.76394849785408,,,23951.0,23949.0,-1.0,24959.0,24938.0,-94.11764705882354,-90.72164948453609,DOWN,,,,,23937.0,23903.0,1,25035.0,24929.0,24924.0,25035.0,106.0,,,24918.4,25035.0,7.599999999998545,109.0,0.03049025114337858,0.43729439139853965,True,False,SHORT,16.0,447.0
24208,20260508  08:30:00,24562.0,24568.0,24538.0,24544.0,-1,24559.467974780997,24568.049161396026,24599.42297254642,24536.67535024563,-31.795416077686053,-0.011365568454098945,0.0013618044622820125,-52.56410256410256,-91.56939040207523,,,24207.0,24206.0,-1.0,24585.0,24557.0,-29.487179487179485,-3.0303030303030303,DOWN,,,,,24207.0,24081.0,1,24585.0,24479.0,24538.0,24585.0,106.0,,,24468.4,24585.0,75.59999999999854,41.0,0.3080182529335012,0.16704693611473273,True,False,SHORT,24.0,85.0
24274,20260508  11:48:00,24545.0,24550.0,24513.0,24516.0,-1,24547.888519670538,24538.64453040818,24582.561127650093,24494.727933166265,-20.903342359455184,-0.013755106906126338,0.0041228478546473015,-50.43478260869565,-92.79393173198483,,,24270.0,24268.0,-1.0,24574.0,24538.0,-2.608695652173913,-12.844036697247706,DOWN,,,,,24269.0,24256.0,1,24574.0,24459.0,24513.0,24574.0,115.0,,,24447.5,24574.0,68.5,58.0,0.279409365312449,0.2365801925273291,True,False,SHORT,34.0,32.0
24310,20260508  13:36:00,24511.0,24511.0,24499.0,24501.0,-1,24514.330067626477,24532.04866602056,24578.601405838166,24485.495926202955,-15.209234482746547,-0.003921054078078715,0.0015851262395276079,-80.89887640449439,-94.41489361702128,,,24309.0,24308.0,-1.0,24518.0,24504.0,-70.0,-68.88888888888889,DOWN,,,,,24269.0,24256.0,1,24574.0,24459.0,24484.0,24574.0,115.0,,,24447.5,24574.0,53.5,73.0,0.21835843434961838,0.2979470225705073,True,False,SHORT,36.0,74.0
24360,20260508  16:06:00,24495.0,24496.0,24471.0,24482.0,-1,24507.709955261736,24513.62213546445,24564.526944498793,24462.71732643011,-13.3230028242301,-0.006837232515126042,0.006533147519652653,-54.166666666666664,-91.899852724595,,,24358.0,24356.0,-1.0,24547.0,24513.0,-20.0,-21.238938053097346,DOWN,,,,,24269.0,24256.0,1,24574.0,24459.0,24427.0,24574.0,115.0,,,24447.5,24574.0,34.5,92.0,0.1409198594886039,0.37578629196961033,True,False,SHORT,14.0,149.0
