,time,open,high,low,close,volume,EMA8,EMA155,UpperBand,LowerBand,Trend,Velocity,Acceleration,wpr,wpr_lf,H,L,H_idx,L_idx,dir,last_H,last_L,H_wpr,L_wpr,BOS,H_raw,L_raw,H_tf,L_tf,H_idx_tf,L_idx_tf,dir_tf,last_H_tf,last_L_tf,low_since_H,high_since_L,swing_tf,swing_H_tf,swing_L_tf,ST_Long,ST_Short,KO_Long,KO_Short,Risk_Long,Risk_Short,Risk_Long_Adm,Risk_Short_Adm,signal,run-up,draw-down
6243,20260303  21:30:00,24155.0,24168.0,24152.0,24166.0,-1,24161.08433111754,24114.940106744754,24333.059659985647,23896.82055350386,-20.101578513137003,-0.024358641821163898,-0.0007016629490245799,-25.238095238095237,-72.56461232604374,,24152.0,6241.0,6243.0,1.0,24163.0,24152.0,-29.047619047619047,-25.238095238095237,UP,,,,,6200.0,6134.0,1,24277.0,23864.0,24009.0,24277.0,413.0,,,23822.7,24277.0,343.2999999999993,111.0,1.4205909128527654,0.45932301580733265,True,False,LONG,216.0,169.0
6388,20260304  07:54:00,23926.0,24065.0,23922.0,24058.0,-1,23947.571517532673,23988.919037157262,24184.351390342475,23793.48668397205,-33.33949909896791,-0.01055063794832227,-0.00700275742990911,-2.5641025641025643,-77.9379956741168,,,6381.0,6387.0,1.0,23968.0,23918.0,-28.695652173913043,-41.73913043478261,UP,,,,,6255.0,6351.0,-1,24382.0,23792.0,23792.0,24065.0,590.0,,,23733.0,24441.0,325.0,383.0,1.3509019868650762,1.5919860337517664,True,False,LONG,641.0,231.0
6966,20260305  15:57:00,24286.0,24321.0,24283.0,24320.0,-1,24270.898389050646,24382.542831897343,24585.69389134272,24179.391772451967,-13.886634452832105,0.025773507557114588,-0.010728325278674022,-40.78947368421053,-41.78610804851158,,,6958.0,6962.0,1.0,24300.0,24215.0,-60.99290780141844,-78.67647058823529,UP,,,,,6854.0,6821.0,1,24699.0,23985.0,24185.0,24699.0,714.0,,,23913.6,24699.0,406.40000000000146,379.0,1.6710526315789533,1.5583881578947367,True,False,LONG,29.0,101.0
7107,20260306  02:09:00,24127.0,24140.0,24126.0,24139.0,-1,24124.288292880137,24112.167041473105,24315.821285140944,23908.512797805266,-40.014684884381204,-0.01576742820428177,-0.0007472275638651764,-40.483383685800604,-61.742006615215,,24126.0,7105.0,7107.0,1.0,24131.0,24126.0,-43.202416918429,-40.483383685800604,UP,,,,,6854.0,7036.0,-1,24699.0,23908.0,23908.0,24273.0,791.0,,,23828.9,24778.1,310.09999999999854,639.0999999999985,1.2846431086623247,2.647582749906784,True,False,LONG,192.0,111.0
7389,20260306  16:15:00,23754.0,23792.0,23748.0,23779.0,-1,23731.04500169075,23894.114016169293,24270.497448904764,23517.730583433822,-67.86973694273628,-0.0022570826791487066,-0.0013410204488470902,-39.76945244956772,-81.48804251550044,,,7386.0,7387.0,1.0,23770.0,23708.0,-49.85590778097983,-50.14409221902017,UP,,,,,7185.0,7375.0,-1,24331.0,23570.0,23570.0,23792.0,761.0,,,23493.9,24407.1,285.09999999999854,628.0999999999985,1.198957062954702,2.6414062828546134,True,False,LONG,150.0,75.0
7608,20260309  06:21:00,22952.0,22991.0,22951.0,22991.0,-1,22954.782468691054,23240.56078531284,24073.97990022068,22407.141670405,-142.31114355035672,-0.0025143252836460402,-0.0006426261102572169,-41.42857142857143,-91.43468950749465,,22951.0,7606.0,7608.0,1.0,22952.0,22951.0,-69.28571428571429,-41.42857142857143,UP,,,,,7489.0,7538.0,-1,23929.0,22831.0,22831.0,23607.0,1098.0,,,22721.2,24038.8,269.7999999999993,1047.7999999999993,1.1735026749597637,4.557435518246267,True,False,LONG,707.0,40.0
7764,20260309  14:09:00,23493.0,23549.0,23483.0,23531.0,-1,23478.883896513336,23364.168297222328,23631.616613236627,23096.71998120803,16.838557791783604,0.034149828900079005,0.004640408734105424,-10.714285714285714,-53.8866930171278,,,7762.0,7763.0,1.0,23515.0,23475.0,-23.125,-30.0,UP,,,,,7641.0,7538.0,1,23698.0,22831.0,23010.0,23698.0,867.0,,,22744.3,23698.0,786.7000000000007,167.0,3.343249330670183,0.7097020951085802,True,False,LONG,50.0,74.0
7793,20260309  15:36:00,23501.0,23534.0,23492.0,23521.0,-1,23477.911961580277,23400.130691177266,23627.049342918464,23173.212039436068,23.200364665109277,0.010887427313879193,0.003226801119927591,-25.862068965517242,-54.0,,,7788.0,7790.0,1.0,23501.0,23438.0,-40.08620689655172,-51.293103448275865,UP,,,,,7641.0,7782.0,-1,23698.0,23349.0,23010.0,23534.0,349.0,,,22941.2,23732.9,579.7999999999993,211.90000000000146,2.465031248671397,0.9008970707027825,True,False,LONG,829.0,128.0
8034,20260310  06:48:00,23837.0,23844.0,23836.0,23844.0,-1,23837.20354225115,23816.413349098297,24014.864424547017,23617.962273649577,31.25515529670786,-0.008855932918523794,0.0003816311547790111,-39.1025641025641,-33.31138907175774,,23836.0,8032.0,8034.0,1.0,23837.0,23836.0,-43.58974358974359,-39.1025641025641,UP,,,,,7921.0,7997.0,-1,24350.0,23749.0,23393.0,23905.0,601.0,,,23297.3,24410.1,546.7000000000007,566.0999999999985,2.292819996644861,2.3741821841972763,True,False,LONG,533.0,8.0
8126,20260310  11:24:00,24161.0,24189.0,24157.0,24185.0,-1,24168.358155459453,24014.41514255802,24338.022108995283,23690.808176120758,64.5805834187132,-0.00016225983407038347,0.0008107477434052057,-36.328125,-12.419146183699871,,,8123.0,8124.0,1.0,24182.0,24132.0,-52.34375,-50.390625,UP,,,,,8078.0,7997.0,1,24377.0,23749.0,23981.0,24377.0,628.0,,,23686.2,24377.0,498.7999999999993,192.0,2.0624353938391535,0.7938805044449039,True,False,LONG,115.0,28.0
